hardware_scope,local_file_or_link,source_type,authority,document_or_resource,version_or_date,why_it_is_used
ESP32-S3 development board,01_esp32_s3_n16r8_development_board/01_official_vcc_gnd_board_docs/VCC-GND_YD-ESP32-S3_Official_Repository.url,OFFICIAL_BOARD_MANUFACTURER,VCC-GND Studio,YD-ESP32-S3 official repository,current,Board-specific ports headers CH343P RGB LED and N16R8 notes
ESP32-S3 development board,01_esp32_s3_n16r8_development_board/01_official_vcc_gnd_board_docs/VCC-GND_YD-ESP32-S3_Schematic_V1.4.url,OFFICIAL_BOARD_MANUFACTURER,VCC-GND Studio,YD-ESP32-S3 schematic,V1.4,Board-level schematic authority
ESP32-S3 development board,01_esp32_s3_n16r8_development_board/01_official_vcc_gnd_board_docs/VCC-GND_YD-ESP32-S3_Hardware_Overview.png,OFFICIAL_BOARD_MANUFACTURER,VCC-GND Studio,YD-ESP32-S3 hardware overview,official repository image,Visual identification of two USB-C ports and N8R8/N16R8 variants
ESP32-S3 development board,01_esp32_s3_n16r8_development_board/01_official_vcc_gnd_board_docs/VCC-GND_YD-ESP32-S3_Board_Front.png,OFFICIAL_BOARD_MANUFACTURER,VCC-GND Studio,YD-ESP32-S3 board front,official repository image,Official board layout reference
ESP32-S3 module,01_esp32_s3_n16r8_development_board/02_official_espressif_esp32_s3_docs/Espressif_ESP32-S3-WROOM-1_WROOM-1U_Datasheet.pdf,OFFICIAL_CHIP_MODULE_MANUFACTURER,Espressif Systems,ESP32-S3-WROOM-1/WROOM-1U datasheet,v1.8 2026-03-02,N16R8 flash PSRAM and module pin restrictions
ESP32-S3 SoC,01_esp32_s3_n16r8_development_board/02_official_espressif_esp32_s3_docs/Espressif_ESP32-S3_SoC_Datasheet.pdf,OFFICIAL_CHIP_MODULE_MANUFACTURER,Espressif Systems,ESP32-S3 Series datasheet,v2.2 2026-03-09,SoC GPIO electrical and peripheral reference
ESP32-S3 USB-UART,01_esp32_s3_n16r8_development_board/01_official_vcc_gnd_board_docs/WCH_CH343_Windows_Driver_Official.url,OFFICIAL_CHIP_MANUFACTURER,WCH,CH343 Windows driver,current,Only relevant when using the board USB-to-UART connector
SHT30/SHT3x chip used by project module,02_sht30_i2c_module/01_official_sensirion_chip_docs/Sensirion_SHT30-DIS-B_Official_Product.url,OFFICIAL_SENSOR_MANUFACTURER,Sensirion,SHT30-DIS-B product page,current,Sensor specifications and manufacturer download index
SHT30/SHT3x chip used by project module,02_sht30_i2c_module/01_official_sensirion_chip_docs/Sensirion_SHT3x-DIS_Datasheet_v7_2022-12.pdf,OFFICIAL_SENSOR_MANUFACTURER,Sensirion,SHT3x-DIS datasheet,Version 7 2022-12,I2C protocol address CRC and conversion formulas
SHT30/SHT3x chip used by project module,02_sht30_i2c_module/01_official_sensirion_chip_docs/Sensirion_SHTxx_Handling_Instructions_v9_2025-06.pdf,OFFICIAL_SENSOR_MANUFACTURER,Sensirion,SHTxx handling instructions,Version 9 2025-06,Humidity sensor contamination ESD and handling guidance
SHT30/SHT3x chip used by project module,02_sht30_i2c_module/01_official_sensirion_chip_docs/Sensirion_SHT_Testing_at_Ambient_Conditions_2022-10.pdf,OFFICIAL_SENSOR_MANUFACTURER,Sensirion,SHT testing at ambient conditions,Version 3 2022-10,Manufacturer guidance for functional validation
Actual SHT3X-DIS project breakout,02_sht30_i2c_module/02_actual_project_module_photos/Project_SHT3X-DIS_I2C_Module_Front.jpg,USER_MODULE_EVIDENCE,Project supplied image,SHT3X-DIS breakout front,user supplied,Only authority for visible breakout labels because breakout manufacturer is unknown
MS5611 chip used by GY-63 project module,03_gy63_ms5611_i2c_module/01_official_te_connectivity_chip_docs/TE_MS5611_Official_Product.url,OFFICIAL_SENSOR_MANUFACTURER,TE Connectivity,MS5611 official product page,current,Manufacturer product status and specifications
MS5611 chip used by GY-63 project module,03_gy63_ms5611_i2c_module/01_official_te_connectivity_chip_docs/TE_MS5611-01BA03_Datasheet_B3_2017-06.pdf,OFFICIAL_SENSOR_MANUFACTURER,TE Connectivity,MS5611-01BA03 datasheet,B3 2017-06,I2C/SPI selection address compensation CRC and electrical limits
Actual GY-63 project breakout,03_gy63_ms5611_i2c_module/02_actual_project_module_photos/Project_GY-63_MS5611_I2C_Module_Front.jpg,USER_MODULE_EVIDENCE,Project supplied image,GY-63 breakout front,user supplied,Only authority for visible breakout labels because breakout manufacturer is unknown
ESP32-S3 development board,01_esp32_s3_n16r8_development_board/01_official_vcc_gnd_board_docs/WCH_CH343_Datasheet_Official.url,OFFICIAL_CHIP_MANUFACTURER,WCH,CH343 datasheet download page,current,USB-to-UART bridge chip reference for the separate programming/diagnostic Type-C port
ESP32-S3 native USB,01_esp32_s3_n16r8_development_board/02_official_espressif_esp32_s3_docs/Espressif_ESP32-S3_USB_Device_Stack_Official.url,OFFICIAL_CHIP_MANUFACTURER,Espressif Systems,ESP-IDF stable USB Device Stack documentation,stable current,Authoritative ESP32-S3 USB Device/TinyUSB behavior for firmware development
ESP32-S3 native USB,01_esp32_s3_n16r8_development_board/02_official_espressif_esp32_s3_docs/Espressif_ESP32-S3_USB_Serial_Connection_Official.url,OFFICIAL_CHIP_MANUFACTURER,Espressif Systems,ESP32-S3 serial connection and native USB guide,stable current,Confirms GPIO19 D- and GPIO20 D+ and first-flash/native-USB workflow
